Configuration;Iteration;The initial best way;Its distance;The best way after algorithm;Its distance
CR-0 PN-10 G-1 PP-5 SM-1 MAX_STEP10 PC-1;1;9-5-4-10-7-14-12-15-2-6-8-3-1-13-11-9;102.77;11-5-4-10-7-14-12-15-2-6-3-8-1-13-9-11;85.73
CR-0 PN-10 G-1 PP-5 SM-1 MAX_STEP10 PC-1;2;8-14-10-7-4-3-15-2-11-9-6-13-1-12-5-8;121.66;8-14-10-7-4-3-15-2-11-9-6-13-1-12-5-8;121.66
CR-0 PN-10 G-1 PP-5 SM-1 MAX_STEP10 PC-1;3;4-10-14-3-7-15-2-13-11-5-9-1-8-6-12-4;94.58;4-10-14-3-7-15-2-13-11-5-9-1-8-6-12-4;94.58
CR-0 PN-10 G-1 PP-5 SM-1 MAX_STEP10 PC-1;4;9-1-15-2-4-12-14-10-8-13-5-11-3-7-6-9;99.73;9-1-15-2-4-12-14-10-8-13-5-11-3-7-6-9;99.73
CR-0 PN-10 G-1 PP-5 SM-1 MAX_STEP10 PC-2;1;6-7-15-5-11-14-3-1-2-12-4-8-13-10-9-6;130.35;13-8-15-5-11-14-3-1-2-12-4-10-7-9-6-13;128.86
CR-0 PN-10 G-1 PP-5 SM-1 MAX_STEP10 PC-2;2;5-1-8-11-2-7-14-4-10-12-15-6-3-9-13-5;77.87;5-1-8-11-2-7-14-4-10-12-15-6-3-9-13-5;77.87
CR-0 PN-10 G-1 PP-5 SM-1 MAX_STEP10 PC-2;3;3-6-10-4-7-2-15-1-9-13-12-14-8-11-5-3;101.09;3-6-10-4-7-2-15-1-9-13-12-14-8-11-5-3;101.09
CR-0 PN-10 G-1 PP-5 SM-1 MAX_STEP10 PC-2;4;4-11-7-15-10-8-13-9-2-1-5-14-12-6-3-4;120.33;4-11-7-15-10-8-13-9-2-1-5-14-12-6-3-4;120.33
CR-0 PN-10 G-1 PP-5 SM-1 MAX_STEP10 PC-3;1;4-8-14-2-13-11-15-10-7-9-6-3-1-5-12-4;115.92;4-8-14-2-13-11-15-10-7-9-6-3-1-5-12-4;115.92
CR-0 PN-10 G-1 PP-5 SM-1 MAX_STEP10 PC-3;2;11-8-1-4-5-10-2-3-15-14-7-6-12-9-13-11;117.14;11-8-1-4-5-10-2-3-15-14-7-6-12-9-13-11;117.14
CR-0 PN-10 G-1 PP-5 SM-1 MAX_STEP10 PC-3;3;3-7-4-15-6-1-9-12-10-14-13-5-2-8-11-3;122.39;14-8-6-10-4-13-9-12-7-15-2-1-3-5-11-14;121.36
CR-0 PN-10 G-1 PP-5 SM-1 MAX_STEP10 PC-3;4;15-6-3-11-13-5-10-8-7-1-9-12-4-14-2-15;109.17;15-6-3-11-13-5-10-8-7-1-9-12-4-14-2-15;109.17
CR-0 PN-10 G-1 PP-5 SM-1 MAX_STEP50 PC-1;1;12-7-1-11-13-6-14-15-8-5-3-4-9-10-2-12;122.21;1-14-15-4-7-6-3-10-5-11-13-8-2-12-9-1;101.52
