Configuration;Best way;Its distance;Average way;Dispersion
CR-0 PN-10 G-1 PP-5 SM-1 MAX_STEP10 PC-1;11-5-4-10-7-14-12-15-2-6-3-8-1-13-9-11;85.73;100.425;[85.73-121.66]
CR-0 PN-10 G-1 PP-5 SM-1 MAX_STEP10 PC-2;5-1-8-11-2-7-14-4-10-12-15-6-3-9-13-5;77.87;107.038;[77.87-128.86]
CR-0 PN-10 G-1 PP-5 SM-1 MAX_STEP10 PC-3;15-6-3-11-13-5-10-8-7-1-9-12-4-14-2-15;109.17;115.897;[109.17-121.36]
CR-0 PN-10 G-1 PP-5 SM-1 MAX_STEP50 PC-1;1-14-15-4-7-6-3-10-5-11-13-8-2-12-9-1;101.52;109.587;[101.52-119.03]
CR-0 PN-10 G-1 PP-5 SM-1 MAX_STEP50 PC-2;3-9-4-15-2-7-6-12-14-8-1-10-11-5-13-3;93.94;104.282;[93.94-110.73]
CR-0 PN-10 G-1 PP-5 SM-1 MAX_STEP50 PC-3;13-11-5-3-12-10-4-7-2-6-8-1-14-15-9-13;91.72;97.495;[91.72-108.46]
CR-0 PN-10 G-1 PP-5 SM-1 MAX_STEP100 PC-1;8-1-11-5-10-7-12-2-14-13-3-6-9-15-4-8;94.3;102.015;[94.3-108.77]
CR-0 PN-10 G-1 PP-5 SM-1 MAX_STEP100 PC-2;4-7-12-3-9-15-10-14-2-6-5-1-11-13-8-4;85.45;97.0025;[85.45-114.62]
CR-0 PN-10 G-1 PP-5 SM-1 MAX_STEP100 PC-3;9-3-2-4-6-10-7-15-12-14-1-11-13-5-8-9;87.61;95.19;[87.61-101.29]
CR-0 PN-10 G-1 PP-5 SM-2 B-2 MAX_STEP10 PC-1;3-6-12-15-2-9-10-4-7-14-1-11-8-5-13-3;90.66;103.035;[90.66-112.97]
CR-0 PN-10 G-1 PP-5 SM-2 B-2 MAX_STEP10 PC-2;14-2-13-5-11-1-10-15-8-12-7-4-3-9-6-14;99.3;103.37;[99.3-108.94]
CR-0 PN-10 G-1 PP-5 SM-2 B-2 MAX_STEP10 PC-3;2-7-6-14-12-15-3-13-11-1-9-5-8-10-4-2;98.19;105.267;[98.19-113.97]
CR-0 PN-10 G-1 PP-5 SM-2 B-2 MAX_STEP50 PC-1;7-12-2-6-3-5-13-8-11-1-14-15-10-4-9-7;85.03;95.815;[85.03-105.97]
CR-0 PN-10 G-1 PP-5 SM-2 B-2 MAX_STEP50 PC-2;8-1-11-5-13-3-9-15-12-7-14-4-2-6-10-8;78.63;89.21;[78.63-101.84]
CR-0 PN-10 G-1 PP-5 SM-2 B-2 MAX_STEP50 PC-3;14-4-10-3-9-5-7-6-12-2-15-8-1-11-13-14;93.41;98.99;[93.41-112.79]
CR-0 PN-10 G-1 PP-5 SM-2 B-2 MAX_STEP100 PC-1;4-7-6-9-3-5-8-11-1-13-15-10-14-12-2-4;88.7;98.36;[88.7-109.28]
CR-0 PN-10 G-1 PP-5 SM-2 B-2 MAX_STEP100 PC-2;15-2-6-3-13-1-8-10-7-12-4-9-11-5-14-15;86.9;90.775;[86.9-96.16]
CR-0 PN-10 G-1 PP-5 SM-2 B-2 MAX_STEP100 PC-3;13-9-3-6-7-15-2-12-8-10-14-4-5-11-1-13;75.82;83.9525;[75.82-94.85]
CR-0 PN-10 G-1 PP-5 SM-2 B-2 MAX_STEP10 PC-1;4-13-5-9-11-7-8-1-14-10-12-6-3-2-15-4;93.19;103.317;[93.19-108.94]
CR-0 PN-10 G-1 PP-5 SM-2 B-2 MAX_STEP10 PC-2;1-4-12-14-10-7-2-6-3-9-13-15-5-11-8-1;89.08;102.85;[89.08-114.02]
CR-0 PN-10 G-1 PP-5 SM-2 B-2 MAX_STEP10 PC-3;9-2-10-14-15-8-4-6-1-13-5-11-7-12-3-9;100.56;105.032;[100.56-109.96]
CR-0 PN-10 G-1 PP-5 SM-2 B-2 MAX_STEP50 PC-1;4-8-12-1-5-13-11-2-9-3-6-14-10-7-15-4;90.22;97.6825;[90.22-104.19]
CR-0 PN-10 G-1 PP-5 SM-2 B-2 MAX_STEP50 PC-2;14-15-4-12-2-6-7-10-3-5-1-9-13-11-8-14;86.92;94.6775;[86.92-103.56]
CR-0 PN-10 G-1 PP-5 SM-2 B-2 MAX_STEP50 PC-3;5-14-2-12-10-7-6-3-15-4-8-1-11-13-9-5;85.3;93.41;[85.3-99.7]
CR-0 PN-10 G-1 PP-5 SM-2 B-2 MAX_STEP100 PC-1;13-10-4-12-2-8-5-1-14-7-15-6-3-9-11-13;88.05;93.3625;[88.05-104.48]
CR-0 PN-10 G-1 PP-5 SM-2 B-2 MAX_STEP100 PC-2;3-6-9-5-13-11-1-12-4-10-8-14-2-15-7-3;76.53;86.0625;[76.53-92.08]
